BS_busId,BS_seatID,BS_ticketId
1,1,NULL
1,2,NULL
1,3,NULL
1,4,NULL
1,5,NULL
1,6,NULL
1,7,NULL
1,8,NULL
1,9,NULL
1,10,NULL
1,11,NULL
1,12,NULL
1,13,NULL
1,14,NULL
1,15,NULL
1,16,NULL
1,17,NULL
1,18,NULL
1,19,NULL
1,20,NULL
1,21,NULL
1,22,NULL
1,23,NULL
1,24,NULL
1,25,NULL
1,26,NULL
1,27,NULL
1,28,NULL
1,29,NULL
1,30,NULL
1,31,NULL
1,32,NULL
1,33,NULL
1,34,NULL
1,35,NULL
1,36,NULL
1,37,NULL
1,38,NULL
1,39,NULL
1,40,NULL
1,41,NULL
1,42,NULL
1,43,NULL
1,44,NULL
1,45,NULL
1,46,NULL
1,47,NULL
1,48,NULL
1,49,NULL
1,50,NULL
2,1,NULL
2,2,NULL
2,3,NULL
2,4,NULL
2,5,NULL
2,6,NULL
2,7,NULL
2,8,NULL
2,9,NULL
2,10,NULL
2,11,NULL
2,12,NULL
2,13,NULL
2,14,NULL
2,15,NULL
2,16,NULL
2,17,NULL
2,18,NULL
2,19,NULL
2,20,NULL
2,21,NULL
2,22,NULL
2,23,NULL
2,24,NULL
2,25,NULL
2,26,NULL
2,27,NULL
2,28,NULL
2,29,NULL
2,30,NULL
2,31,NULL
2,32,NULL
2,33,NULL
2,34,NULL
2,35,NULL
2,36,NULL
2,37,NULL
2,38,NULL
2,39,NULL
2,40,NULL
2,41,NULL
2,42,NULL
2,43,NULL
2,44,NULL
2,45,NULL
2,46,NULL
2,47,NULL
2,48,NULL
2,49,NULL
2,50,NULL
3,1,NULL
3,2,NULL
3,3,NULL
3,4,NULL
3,5,NULL
3,6,NULL
3,7,NULL
3,8,NULL
3,9,NULL
3,10,NULL
3,11,NULL
3,12,NULL
3,13,NULL
3,14,NULL
3,15,NULL
3,16,NULL
3,17,NULL
3,18,NULL
3,19,NULL
3,20,NULL
3,21,NULL
3,22,NULL
3,23,NULL
3,24,NULL
3,25,NULL
3,26,NULL
3,27,NULL
3,28,NULL
3,29,NULL
3,30,NULL
3,31,NULL
3,32,NULL
3,33,NULL
3,34,NULL
3,35,NULL
3,36,NULL
3,37,NULL
3,38,NULL
3,39,NULL
3,40,NULL
3,41,NULL
3,42,NULL
3,43,NULL
3,44,NULL
3,45,NULL
3,46,NULL
3,47,NULL
3,48,NULL
3,49,NULL
3,50,NULL
4,1,NULL
4,2,NULL
4,3,NULL
4,4,NULL
4,5,NULL
4,6,NULL
4,7,NULL
4,8,NULL
4,9,NULL
4,10,NULL
4,11,NULL
4,12,NULL
4,13,NULL
4,14,NULL
4,15,NULL
4,16,NULL
4,17,NULL
4,18,NULL
4,19,NULL
4,20,NULL
4,21,NULL
4,22,NULL
4,23,NULL
4,24,NULL
4,25,NULL
4,26,NULL
4,27,NULL
4,28,NULL
4,29,NULL
4,30,NULL
4,31,NULL
4,32,NULL
4,33,NULL
4,34,NULL
4,35,NULL
4,36,NULL
4,37,NULL
4,38,NULL
4,39,NULL
4,40,NULL
4,41,NULL
4,42,NULL
4,43,NULL
4,44,NULL
4,45,NULL
4,46,NULL
4,47,NULL
4,48,NULL
4,49,NULL
4,50,NULL
5,1,NULL
5,2,NULL
5,3,NULL
5,4,NULL
5,5,NULL
5,6,NULL
5,7,NULL
5,8,NULL
5,9,NULL
5,10,NULL
5,11,NULL
5,12,NULL
5,13,NULL
5,14,NULL
5,15,NULL
5,16,NULL
5,17,NULL
5,18,NULL
5,19,NULL
5,20,NULL
5,21,NULL
5,22,NULL
5,23,NULL
5,24,NULL
5,25,NULL
5,26,NULL
5,27,NULL
5,28,NULL
5,29,NULL
5,30,NULL
5,31,NULL
5,32,NULL
5,33,NULL
5,34,NULL
5,35,NULL
5,36,NULL
5,37,NULL
5,38,NULL
5,39,NULL
5,40,NULL
5,41,NULL
5,42,NULL
5,43,NULL
5,44,NULL
5,45,NULL
5,46,NULL
5,47,NULL
5,48,NULL
5,49,NULL
5,50,NULL
6,1,NULL
6,2,NULL
6,3,NULL
